Ride_ID,Booking_DateTime,Date,Time,Hour,Day_of_Week,Month,Time_Period,Is_Weekend,City,Distance_KM,Duration_Min,Ride_Type,Base_Fare,Surge_Multiplier,Total_Fare,Fare_Per_KM,Speed_KMH,Distance_Category,Fare_Category,Status,Payment_Method,Rating,Driver_ID,Customer_ID
RIDE100016,2024-01-15 07:56:00,2024-01-15,07:56:00,7,Monday,January,Early Morning,Weekday,Delhi,17.19,31.7,Mini,40,1.0,192.03,11.17,32.54,Long (15-30 km),High (₹150-300),Completed,Card,5.0,DR9727,CUST26483
RIDE100017,2024-02-02 21:30:00,2024-02-02,21:30:00,21,Friday,February,Night,Weekday,Bangalore,17.15,35.5,SUV,100,1.0,428.25,24.97,28.99,Long (15-30 km),Premium (₹300+),Completed,UPI,5.0,DR9835,CUST36365
RIDE100018,2024-03-20 12:42:00,2024-03-20,12:42:00,12,Wednesday,March,Afternoon,Weekday,Pune,7.77,20.0,Premium,150,1.0,25.0,3.22,23.31,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR2982,CUST42493
RIDE100019,2024-02-27 02:21:00,2024-02-27,02:21:00,2,Tuesday,February,Late Night,Weekday,Mumbai,14.63,39.7,Auto,25,1.2,153.51,10.49,22.11,Medium (5-15 km),High (₹150-300),Completed,Cash,3.0,DR1964,CUST40007
RIDE100020,2024-01-18 01:55:00,2024-01-18,01:55:00,1,Thursday,January,Late Night,Weekday,Pune,11.14,19.4,Mini,40,1.2,164.86,14.8,34.45,Medium (5-15 km),High (₹150-300),Completed,UPI,4.0,DR3167,CUST84847
RIDE100021,2024-05-27 15:15:00,2024-05-27,15:15:00,15,Monday,May,Afternoon,Weekday,Ahmedabad,6.89,26.9,Premium,150,1.0,355.05,51.53,15.37,Medium (5-15 km),Premium (₹300+),Completed,Cash,4.0,DR7939,CUST63883
RIDE100022,2024-04-29 23:03:00,2024-04-29,23:03:00,23,Monday,April,Late Night,Weekday,Delhi,11.94,20.4,Mini,40,1.1,158.38,13.26,35.12,Medium (5-15 km),High (₹150-300),Completed,Card,3.0,DR4139,CUST34931
RIDE100023,2024-05-17 14:08:00,2024-05-17,14:08:00,14,Friday,May,Afternoon,Weekday,Kolkata,20.2,48.1,Sedan,60,1.0,334.15,16.54,25.2,Long (15-30 km),Premium (₹300+),Completed,Cash,5.0,DR8260,CUST82132
RIDE100024,2024-01-26 01:41:00,2024-01-26,01:41:00,1,Friday,January,Late Night,Weekday,Mumbai,15.33,36.4,Mini,40,1.0,183.71,11.98,25.27,Long (15-30 km),High (₹150-300),Completed,UPI,4.0,DR7570,CUST17685
RIDE100025,2024-02-12 12:00:00,2024-02-12,12:00:00,12,Monday,February,Afternoon,Weekday,Kolkata,20.56,40.7,SUV,100,1.0,0.0,0.0,30.31,Long (15-30 km),Low (≤₹50),No Driver Available,,,DR8454,CUST47388
RIDE100026,2024-04-18 22:46:00,2024-04-18,22:46:00,22,Thursday,April,Night,Weekday,Ahmedabad,20.42,46.1,Sedan,60,1.0,333.35,16.32,26.58,Long (15-30 km),Premium (₹300+),Completed,Wallet,5.0,DR9883,CUST17989
RIDE100027,2024-03-21 01:03:00,2024-03-21,01:03:00,1,Thursday,March,Late Night,Weekday,Ahmedabad,7.09,28.0,Auto,25,1.2,97.74,13.79,15.19,Medium (5-15 km),Medium (₹50-150),Completed,Wallet,3.0,DR4044,CUST18981
RIDE100028,2024-06-01 02:43:00,2024-06-01,02:43:00,2,Saturday,June,Late Night,Weekend,Hyderabad,9.11,32.7,Premium,150,1.2,496.74,54.53,16.72,Medium (5-15 km),Premium (₹300+),Completed,UPI,5.0,DR7868,CUST96163
RIDE100029,2024-05-29 18:33:00,2024-05-29,18:33:00,18,Wednesday,May,Evening Peak,Weekday,Pune,10.38,21.5,SUV,100,1.2,358.44,34.53,28.97,Medium (5-15 km),Premium (₹300+),Completed,UPI,4.0,DR3144,CUST98039
RIDE100030,2024-06-14 09:29:00,2024-06-14,09:29:00,9,Friday,June,Morning Peak,Weekday,Pune,16.14,32.9,Mini,40,1.0,185.88,11.52,29.43,Long (15-30 km),High (₹150-300),Completed,Wallet,5.0,DR2200,CUST80468
RIDE100031,2024-02-24 16:16:00,2024-02-24,16:16:00,16,Saturday,February,Afternoon,Weekend,Bangalore,17.83,50.4,SUV,100,1.0,25.0,1.4,21.23,Long (15-30 km),Low (≤₹50),Cancelled,,,DR5669,CUST30676
RIDE100032,2024-04-22 17:45:00,2024-04-22,17:45:00,17,Monday,April,Evening Peak,Weekday,Chennai,15.04,39.6,Auto,25,2.0,259.8,17.27,22.79,Long (15-30 km),High (₹150-300),Completed,UPI,5.0,DR2697,CUST27601
RIDE100033,2024-03-08 03:56:00,2024-03-08,03:56:00,3,Friday,March,Late Night,Weekday,Delhi,6.28,9.4,Bike,15,1.2,46.25,7.36,40.09,Medium (5-15 km),Low (≤₹50),Completed,UPI,4.0,DR6617,CUST36685
RIDE100034,2024-06-24 20:54:00,2024-06-24,20:54:00,20,Monday,June,Night,Weekday,Chennai,15.69,38.2,Auto,25,1.5,198.15,12.63,24.64,Long (15-30 km),High (₹150-300),Completed,Wallet,2.0,DR7939,CUST46265
RIDE100035,2024-01-12 00:21:00,2024-01-12,00:21:00,0,Friday,January,Late Night,Weekday,Bangalore,5.93,19.8,Bike,15,1.1,46.96,7.92,17.97,Medium (5-15 km),Low (≤₹50),Completed,UPI,5.0,DR1158,CUST24663
RIDE100036,2024-01-20 22:57:00,2024-01-20,22:57:00,22,Saturday,January,Night,Weekend,Bangalore,7.21,12.2,Auto,25,1.1,77.22,10.71,35.46,Medium (5-15 km),Medium (₹50-150),Completed,Cash,3.0,DR6050,CUST57795
RIDE100037,2024-01-11 11:13:00,2024-01-11,11:13:00,11,Thursday,January,Morning Peak,Weekday,Hyderabad,21.34,42.8,Bike,15,1.0,100.42,4.71,29.92,Long (15-30 km),Medium (₹50-150),Completed,Card,5.0,DR7658,CUST91351
RIDE100038,2024-02-09 07:55:00,2024-02-09,07:55:00,7,Friday,February,Early Morning,Weekday,Bangalore,6.79,13.4,Sedan,60,1.0,0.0,0.0,30.4,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR3938,CUST53540
RIDE100039,2024-04-15 21:55:00,2024-04-15,21:55:00,21,Monday,April,Night,Weekday,Hyderabad,18.86,39.5,SUV,100,1.0,461.9,24.49,28.65,Long (15-30 km),Premium (₹300+),Completed,Card,4.0,DR1634,CUST71694
RIDE100040,2024-02-26 06:52:00,2024-02-26,06:52:00,6,Monday,February,Early Morning,Weekday,Ahmedabad,12.68,36.0,SUV,100,1.0,362.2,28.56,21.13,Medium (5-15 km),Premium (₹300+),Completed,Card,4.0,DR1387,CUST96511
RIDE100041,2024-02-19 12:21:00,2024-02-19,12:21:00,12,Monday,February,Afternoon,Weekday,Chennai,20.99,49.1,Mini,40,1.0,0.0,0.0,25.65,Long (15-30 km),Low (≤₹50),No Driver Available,,,DR5573,CUST56025
RIDE100042,2024-06-13 16:25:00,2024-06-13,16:25:00,16,Thursday,June,Afternoon,Weekday,Pune,14.68,27.6,Mini,40,1.0,170.36,11.6,31.91,Medium (5-15 km),High (₹150-300),Completed,Wallet,3.0,DR5349,CUST15014
RIDE100043,2024-01-28 19:27:00,2024-01-28,19:27:00,19,Sunday,January,Evening Peak,Weekend,Pune,10.63,30.5,Bike,15,1.4300000000000002,88.86,8.36,20.91,Medium (5-15 km),Medium (₹50-150),Completed,UPI,4.0,DR4114,CUST43386
RIDE100044,2024-01-12 22:27:00,2024-01-12,22:27:00,22,Friday,January,Night,Weekday,Mumbai,13.4,38.8,Auto,25,1.2,145.32,10.84,20.72,Medium (5-15 km),Medium (₹50-150),Completed,Wallet,5.0,DR4228,CUST57739
RIDE100045,2024-04-20 02:42:00,2024-04-20,02:42:00,2,Saturday,April,Late Night,Weekend,Pune,13.29,26.9,Auto,25,1.32,50.0,3.76,29.64,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR5920,CUST76469
RIDE100046,2024-03-20 21:26:00,2024-03-20,21:26:00,21,Wednesday,March,Night,Weekday,Pune,3.77,15.2,Premium,150,1.0,263.4,69.87,14.88,Short (0-5 km),High (₹150-300),Completed,UPI,3.0,DR7211,CUST98777
RIDE100047,2024-02-14 19:36:00,2024-02-14,19:36:00,19,Wednesday,February,Evening Peak,Weekday,Chennai,4.84,8.6,Premium,150,1.8,25.0,5.17,33.77,Short (0-5 km),Low (≤₹50),Cancelled,,,DR5700,CUST37549
RIDE100048,2024-04-20 18:38:00,2024-04-20,18:38:00,18,Saturday,April,Evening Peak,Weekend,Pune,17.49,33.5,Premium,150,1.6500000000000001,962.86,55.05,31.33,Long (15-30 km),Premium (₹300+),Completed,UPI,5.0,DR3780,CUST96356
RIDE100049,2024-01-22 09:32:00,2024-01-22,09:32:00,9,Monday,January,Morning Peak,Weekday,Pune,12.97,21.2,Mini,40,1.2,182.39,14.06,36.71,Medium (5-15 km),High (₹150-300),Completed,Cash,3.0,DR1400,CUST16057
RIDE100050,2024-03-03 15:39:00,2024-03-03,15:39:00,15,Sunday,March,Afternoon,Weekend,Delhi,11.92,35.9,Premium,150,1.1,50.0,4.19,19.92,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR4185,CUST60328
RIDE100051,2024-05-06 12:15:00,2024-05-06,12:15:00,12,Monday,May,Afternoon,Weekday,Bangalore,12.45,23.3,Bike,15,1.0,64.0,5.14,32.06,Medium (5-15 km),Medium (₹50-150),Completed,Wallet,5.0,DR2746,CUST65724
RIDE100052,2024-02-26 05:51:00,2024-02-26,05:51:00,5,Monday,February,Early Morning,Weekday,Ahmedabad,8.7,14.3,Mini,40,1.2,138.24,15.89,36.5,Medium (5-15 km),Medium (₹50-150),Completed,Card,4.0,DR8612,CUST97500
RIDE100053,2024-05-15 17:38:00,2024-05-15,17:38:00,17,Wednesday,May,Evening Peak,Weekday,Pune,14.86,42.3,Premium,150,1.8,50.0,3.36,21.08,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR7991,CUST81810
RIDE100054,2024-04-24 05:47:00,2024-04-24,05:47:00,5,Wednesday,April,Early Morning,Weekday,Ahmedabad,7.54,16.0,Premium,150,1.1,374.88,49.72,28.28,Medium (5-15 km),Premium (₹300+),Completed,Card,4.0,DR9540,CUST73517
RIDE100055,2024-06-09 07:17:00,2024-06-09,07:17:00,7,Sunday,June,Early Morning,Weekend,Ahmedabad,2.62,10.5,Mini,40,1.2,82.61,31.53,14.97,Short (0-5 km),Medium (₹50-150),Completed,UPI,4.0,DR9849,CUST20561
RIDE100056,2024-02-05 04:14:00,2024-02-05,04:14:00,4,Monday,February,Late Night,Weekday,Kolkata,3.93,18.8,Bike,15,1.0,36.19,9.21,12.54,Short (0-5 km),Low (≤₹50),Completed,Cash,4.0,DR9890,CUST71069
RIDE100057,2024-04-16 01:13:00,2024-04-16,01:13:00,1,Tuesday,April,Late Night,Weekday,Kolkata,12.64,31.8,Premium,150,1.2,0.0,0.0,23.85,Medium (5-15 km),Low (≤₹50),No Driver Available,,,DR1320,CUST85456
RIDE100058,2024-04-07 15:00:00,2024-04-07,15:00:00,15,Sunday,April,Afternoon,Weekend,Pune,11.93,30.7,SUV,100,1.1,25.0,2.1,23.32,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR9818,CUST81582
RIDE100059,2024-06-03 07:31:00,2024-06-03,07:31:00,7,Monday,June,Early Morning,Weekday,Hyderabad,18.99,35.5,SUV,100,1.0,455.85,24.0,32.1,Long (15-30 km),Premium (₹300+),Completed,Cash,4.0,DR7624,CUST31632
RIDE100060,2024-04-29 04:39:00,2024-04-29,04:39:00,4,Monday,April,Late Night,Weekday,Mumbai,7.55,11.8,Premium,150,1.2,396.6,52.53,38.39,Medium (5-15 km),Premium (₹300+),Completed,Cash,5.0,DR3223,CUST70515
RIDE100061,2024-02-16 01:16:00,2024-02-16,01:16:00,1,Friday,February,Late Night,Weekday,Kolkata,11.11,31.7,SUV,100,1.0,330.05,29.71,21.03,Medium (5-15 km),Premium (₹300+),Completed,UPI,5.0,DR5558,CUST65255
RIDE100062,2024-03-05 02:30:00,2024-03-05,02:30:00,2,Tuesday,March,Late Night,Weekday,Mumbai,15.76,31.9,Bike,15,1.2,93.88,5.96,29.64,Long (15-30 km),Medium (₹50-150),Completed,Wallet,4.0,DR2124,CUST95426
RIDE100063,2024-01-11 00:15:00,2024-01-11,00:15:00,0,Thursday,January,Late Night,Weekday,Hyderabad,21.67,55.1,Mini,40,1.2,296.15,13.67,23.6,Long (15-30 km),High (₹150-300),Completed,Cash,5.0,DR4571,CUST70952
RIDE100064,2024-06-28 08:49:00,2024-06-28,08:49:00,8,Friday,June,Morning Peak,Weekday,Pune,12.89,25.8,Sedan,60,1.8,409.68,31.78,29.98,Medium (5-15 km),Premium (₹300+),Completed,Card,3.0,DR3683,CUST50768
RIDE100065,2024-01-28 18:01:00,2024-01-28,18:01:00,18,Sunday,January,Evening Peak,Weekend,Chennai,9.96,34.0,Auto,25,2.2,220.66,22.15,17.58,Medium (5-15 km),High (₹150-300),Completed,Card,3.0,DR4978,CUST23356
RIDE100066,2024-06-27 09:54:00,2024-06-27,09:54:00,9,Thursday,June,Morning Peak,Weekday,Delhi,4.1,8.2,Auto,25,1.0,51.65,12.6,30.0,Short (0-5 km),Medium (₹50-150),Completed,UPI,4.0,DR9289,CUST94874
RIDE100067,2024-03-28 00:54:00,2024-03-28,00:54:00,0,Thursday,March,Late Night,Weekday,Kolkata,16.14,28.2,Premium,150,1.0,543.3,33.66,34.34,Long (15-30 km),Premium (₹300+),Completed,UPI,5.0,DR8532,CUST30052
RIDE100068,2024-04-21 05:46:00,2024-04-21,05:46:00,5,Sunday,April,Early Morning,Weekend,Chennai,16.98,30.9,Auto,25,1.32,175.66,10.35,32.97,Long (15-30 km),High (₹150-300),Completed,Card,5.0,DR6280,CUST42177
RIDE100069,2024-01-23 08:56:00,2024-01-23,08:56:00,8,Tuesday,January,Morning Peak,Weekday,Ahmedabad,7.12,17.2,Sedan,60,1.5,235.5,33.08,24.84,Medium (5-15 km),High (₹150-300),Completed,UPI,4.0,DR9098,CUST52600
RIDE100070,2024-02-16 15:13:00,2024-02-16,15:13:00,15,Friday,February,Afternoon,Weekday,Pune,13.92,35.4,SUV,100,1.0,379.6,27.27,23.59,Medium (5-15 km),Premium (₹300+),Completed,Wallet,5.0,DR5526,CUST82848
RIDE100071,2024-01-03 16:12:00,2024-01-03,16:12:00,16,Wednesday,January,Afternoon,Weekday,Delhi,15.78,28.0,Sedan,60,1.0,259.8,16.46,33.81,Long (15-30 km),High (₹150-300),Completed,UPI,5.0,DR8800,CUST94659
RIDE100072,2024-05-05 14:50:00,2024-05-05,14:50:00,14,Sunday,May,Afternoon,Weekend,Mumbai,20.32,47.1,Mini,40,1.1,252.27,12.41,25.89,Long (15-30 km),High (₹150-300),Completed,UPI,4.0,DR7046,CUST72031
RIDE100073,2024-05-21 16:22:00,2024-05-21,16:22:00,16,Tuesday,May,Afternoon,Weekday,Kolkata,2.67,19.2,Bike,15,1.0,32.61,12.21,8.34,Short (0-5 km),Low (≤₹50),Completed,UPI,4.0,DR6023,CUST42951
RIDE100074,2024-02-29 03:46:00,2024-02-29,03:46:00,3,Thursday,February,Late Night,Weekday,Hyderabad,20.53,37.4,SUV,100,1.0,482.75,23.51,32.94,Long (15-30 km),Premium (₹300+),Completed,Wallet,5.0,DR4138,CUST38361
RIDE100075,2024-05-03 08:46:00,2024-05-03,08:46:00,8,Friday,May,Morning Peak,Weekday,Chennai,14.76,25.9,Mini,40,1.2,203.06,13.76,34.19,Medium (5-15 km),High (₹150-300),Completed,UPI,4.0,DR9751,CUST26591
RIDE100076,2024-03-11 01:03:00,2024-03-11,01:03:00,1,Monday,March,Late Night,Weekday,Chennai,6.6,13.8,Bike,15,1.0,41.7,6.32,28.7,Medium (5-15 km),Low (≤₹50),Completed,Card,3.0,DR1200,CUST85243
RIDE100077,2024-03-13 15:30:00,2024-03-13,15:30:00,15,Wednesday,March,Afternoon,Weekday,Ahmedabad,12.03,33.8,SUV,100,1.0,348.05,28.93,21.36,Medium (5-15 km),Premium (₹300+),Completed,Cash,5.0,DR8827,CUST24953
RIDE100078,2024-01-17 12:31:00,2024-01-17,12:31:00,12,Wednesday,January,Afternoon,Weekday,Delhi,17.36,45.9,Auto,25,1.0,146.22,8.42,22.69,Long (15-30 km),Medium (₹50-150),Completed,Cash,3.0,DR5978,CUST21164
RIDE100079,2024-03-04 03:35:00,2024-03-04,03:35:00,3,Monday,March,Late Night,Weekday,Kolkata,15.93,33.7,Auto,25,1.2,0.0,0.0,28.36,Long (15-30 km),Low (≤₹50),Cancelled,,,DR9561,CUST59856
RIDE100080,2024-04-25 14:19:00,2024-04-25,14:19:00,14,Thursday,April,Afternoon,Weekday,Kolkata,11.39,32.9,SUV,100,1.0,336.65,29.56,20.77,Medium (5-15 km),Premium (₹300+),Completed,Cash,5.0,DR2625,CUST37235
RIDE100081,2024-06-09 06:16:00,2024-06-09,06:16:00,6,Sunday,June,Early Morning,Weekend,Delhi,9.09,19.6,Sedan,60,1.0,180.3,19.83,27.83,Medium (5-15 km),High (₹150-300),Completed,Cash,1.0,DR8381,CUST87832
RIDE100082,2024-04-30 09:02:00,2024-04-30,09:02:00,9,Tuesday,April,Morning Peak,Weekday,Hyderabad,22.74,42.3,SUV,100,2.0,1051.4,46.24,32.26,Long (15-30 km),Premium (₹300+),Completed,Wallet,3.0,DR4824,CUST44675
RIDE100083,2024-06-09 18:42:00,2024-06-09,18:42:00,18,Sunday,June,Evening Peak,Weekend,Hyderabad,16.32,40.3,Premium,150,1.2,692.58,42.44,24.3,Long (15-30 km),Premium (₹300+),Completed,Cash,4.0,DR3330,CUST19359
RIDE100084,2024-01-16 05:50:00,2024-01-16,05:50:00,5,Tuesday,January,Early Morning,Weekday,Chennai,8.83,27.7,Auto,25,1.2,25.0,2.83,19.13,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR8195,CUST26299
RIDE100085,2024-04-29 22:19:00,2024-04-29,22:19:00,22,Monday,April,Night,Weekday,Kolkata,16.87,29.9,SUV,100,1.2,495.42,29.37,33.85,Long (15-30 km),Premium (₹300+),Completed,UPI,5.0,DR8078,CUST52247
RIDE100086,2024-06-03 08:01:00,2024-06-03,08:01:00,8,Monday,June,Morning Peak,Weekday,Delhi,7.77,12.9,Sedan,60,2.0,50.0,6.44,36.14,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR1339,CUST98117
RIDE100087,2024-03-09 18:02:00,2024-03-09,18:02:00,18,Saturday,March,Evening Peak,Weekend,Bangalore,18.06,32.8,Premium,150,2.16,1281.31,70.95,33.04,Long (15-30 km),Premium (₹300+),Completed,UPI,5.0,DR8141,CUST93202
RIDE100088,2024-05-05 02:30:00,2024-05-05,02:30:00,2,Sunday,May,Late Night,Weekend,Pune,14.32,25.3,Premium,150,1.2100000000000002,604.58,42.22,33.96,Medium (5-15 km),Premium (₹300+),Completed,Wallet,4.0,DR9117,CUST47777
RIDE100089,2024-06-18 12:52:00,2024-06-18,12:52:00,12,Tuesday,June,Afternoon,Weekday,Mumbai,15.11,41.5,Premium,150,1.0,555.95,36.79,21.85,Long (15-30 km),Premium (₹300+),Completed,UPI,3.0,DR7622,CUST77449
RIDE100090,2024-01-01 21:55:00,2024-01-01,21:55:00,21,Monday,January,Night,Weekday,Ahmedabad,14.2,25.1,Premium,150,1.0,496.75,34.98,33.94,Medium (5-15 km),Premium (₹300+),Completed,UPI,5.0,DR9167,CUST91973
RIDE100091,2024-04-23 01:13:00,2024-04-23,01:13:00,1,Tuesday,April,Late Night,Weekday,Chennai,11.0,19.2,Auto,25,1.0,0.0,0.0,34.38,Medium (5-15 km),Low (≤₹50),No Driver Available,,,DR8178,CUST73532
RIDE100092,2024-02-01 00:40:00,2024-02-01,00:40:00,0,Thursday,February,Late Night,Weekday,Hyderabad,1.13,5.0,Bike,15,1.0,20.89,18.49,13.56,Short (0-5 km),Low (≤₹50),Completed,Cash,4.0,DR4681,CUST24871
RIDE100093,2024-04-28 03:41:00,2024-04-28,03:41:00,3,Sunday,April,Late Night,Weekend,Bangalore,14.03,42.3,Premium,150,1.32,707.98,50.46,19.9,Medium (5-15 km),Premium (₹300+),Completed,UPI,5.0,DR8736,CUST41946
RIDE100094,2024-04-26 17:09:00,2024-04-26,17:09:00,17,Friday,April,Evening Peak,Weekday,Kolkata,11.05,36.4,Sedan,60,1.8,405.18,36.67,18.21,Medium (5-15 km),Premium (₹300+),Completed,Wallet,5.0,DR5526,CUST64387
RIDE100095,2024-03-28 16:17:00,2024-03-28,16:17:00,16,Thursday,March,Afternoon,Weekday,Mumbai,1.88,9.3,SUV,100,1.0,146.8,78.09,12.13,Short (0-5 km),Medium (₹50-150),Completed,Card,5.0,DR9022,CUST29476
RIDE100096,2024-04-24 17:30:00,2024-04-24,17:30:00,17,Wednesday,April,Evening Peak,Weekday,Pune,22.14,49.7,SUV,100,1.8,956.7,43.21,26.73,Long (15-30 km),Premium (₹300+),Completed,UPI,5.0,DR4090,CUST41300
RIDE100097,2024-05-26 12:14:00,2024-05-26,12:14:00,12,Sunday,May,Afternoon,Weekend,Kolkata,4.17,15.0,Mini,40,1.1,92.61,22.21,16.68,Short (0-5 km),Medium (₹50-150),Completed,Card,5.0,DR7325,CUST96991
RIDE100098,2024-06-15 04:31:00,2024-06-15,04:31:00,4,Saturday,June,Late Night,Weekend,Mumbai,24.36,61.5,Sedan,60,1.44,570.02,23.4,23.77,Long (15-30 km),Premium (₹300+),Completed,Cash,5.0,DR2633,CUST78937
RIDE100099,2024-04-26 00:46:00,2024-04-26,00:46:00,0,Friday,April,Late Night,Weekday,Bangalore,10.38,25.0,Premium,150,1.2,0.0,0.0,24.91,Medium (5-15 km),Low (≤₹50),No Driver Available,,,DR2225,CUST71537
RIDE100100,2024-03-08 10:39:00,2024-03-08,10:39:00,10,Friday,March,Morning Peak,Weekday,Kolkata,10.62,36.0,Bike,15,1.0,50.0,4.71,17.7,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR9742,CUST59808
RIDE100101,2024-03-22 20:45:00,2024-03-22,20:45:00,20,Friday,March,Night,Weekday,Ahmedabad,10.6,29.9,Auto,25,1.0,100.42,9.47,21.27,Medium (5-15 km),Medium (₹50-150),Completed,Cash,5.0,DR5708,CUST39817
RIDE100102,2024-01-24 13:06:00,2024-01-24,13:06:00,13,Wednesday,January,Afternoon,Weekday,Delhi,14.68,38.9,Premium,150,1.0,540.85,36.84,22.64,Medium (5-15 km),Premium (₹300+),Completed,UPI,2.0,DR6314,CUST17355
RIDE100103,2024-03-16 11:23:00,2024-03-16,11:23:00,11,Saturday,March,Morning Peak,Weekend,Kolkata,12.21,20.3,Sedan,60,1.0,212.55,17.41,36.09,Medium (5-15 km),High (₹150-300),Completed,UPI,5.0,DR3785,CUST32946
RIDE100104,2024-01-21 19:55:00,2024-01-21,19:55:00,19,Sunday,January,Evening Peak,Weekend,Kolkata,22.07,42.1,Auto,25,2.0,333.85,15.13,31.45,Long (15-30 km),Premium (₹300+),Completed,UPI,4.0,DR5161,CUST70236
RIDE100105,2024-03-06 21:00:00,2024-03-06,21:00:00,21,Wednesday,March,Night,Weekday,Ahmedabad,13.21,38.2,SUV,100,1.0,374.55,28.35,20.75,Medium (5-15 km),Premium (₹300+),Completed,Cash,4.0,DR6661,CUST87014
